Betreiber,Anzeigename (Karte),Strasse,Hausnummer,Adresszusatz,Postleitzahl,Ort,Kreis/kreisfreie Stadt,Bundesland,Breitengrad,Laengengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,Steckertypen5,P5 [kW],Public Key5,Steckertypen6,P6 [kW],Public Key6
Shell Deutschland GmbH,,Amsickstrasse,60,,20097.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.543259,10.021737,2021-12-15,345,Schnellladeeinrichtung,1.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,350,,,,,,,,,,,,,,,,
Shell Deutschland GmbH,,Amsickstrasse,60,,20097.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.543259,10.021737,2021-12-15,345,Schnellladeeinrichtung,1.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,345,,,,,,,,,,,,,,,,
JET Tankstellen Deutschland GmbH,,Amsinckstrasse,73,,20097.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.542819,10.026279,2021-06-24,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
NWG Charging GmbH,NWG Charging,Auf der Brandshofer Schleuse,4,,20097.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.543119,10.014934,2022-05-16,180,Schnellladeeinrichtung,3.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),180,,AC Typ 2 Steckdose,22,,DC Fahrzeugkupplung Typ Combo 2 (CCS),180,,,,,,,,,,
Hamburger Energiewerke Mobil GmbH,HEnW-Mobil,Rothenbaumchaussee,60,,20148.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.56769,9.988565,2023-10-12,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
Hamburger Energiewerke Mobil GmbH,HEnW-Mobil,Robert-Koch-Str.,36,,20249.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.590135,9.985858,2022-03-17,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
Hamburger Energiewerke Mobil GmbH,HEnW-Mobil,Robert-Koch-Str.,36,,20249.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.590135,9.985858,2022-03-17,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
Hamburger Energiewerke Mobil GmbH,HEnW-Mobil,Christoph-Probst-Weg,28,,20251.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.596789,9.976142,2022-12-27,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
Hamburger Energiewerke Mobil GmbH,HEnW-Mobil,Sternstr.,68,,20357.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.559872,9.966901,2022-12-28,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
Lidl Dienstleistung GmbH & Co. KGe,Lidl,Altonaerstr.,10,LDE_3860_23438,20357.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.632702,9.907909,2021-03-08,50,Schnellladeeinrichtung,3.0,AC Typ 2 Steckdose; AC Typ 2 Fahrzeugkupplung,22,,AC Typ 2 Fahrzeugkupplung; DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,AC Typ 2 Fahrzeugkupplung; DC CHAdeMO,50,,,,,,,,,,
Hamburger Energiewerke Mobil GmbH,HEnW-Mobil,Zirkusweg,0,ggï¿½. 12,20359.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.548362,9.967543,2021-12-15,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
