_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163670;2;Osdorfer Landstraße / Windmühlenweg;;01.01.2023;POINT (9.869320 53.571108);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163671;3;Neue Straße / Harburger Ring;;01.01.2023;POINT (9.978484 53.460967);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163672;5;Elise-Averdieck-Straße / Oben Borgfelde;;01.01.2024;POINT (10.037864 53.555552);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163673;6;Oberhafenradweg / Brandshofer Deich;;01.01.2024;POINT (10.029101 53.536571);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163674;7;Gert-Schwämmle-Weg / Dratelnstraße;;01.01.2024;POINT (9.999796 53.499345);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163675;8;Alte Harburger Elbbrücke / Abzweig Hannoversche Straße;;01.01.2024;POINT (9.993546 53.470605);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163676;9;Nördlicher Bahngraben / S-Bahn Allermöhe;;01.01.2024;POINT (10.158719 53.490718);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163677;10;Eppendorfer Weg / Wehbers Park;;01.01.2024;POINT (9.958031 53.570655);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163678;11;Saarlandstieg / Dakarweg;;01.01.2024;POINT (10.029880 53.602832);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163679;6001;Kakenhaner Weg SW Steenbargkoppel;;25.08.2005;POINT (10.094995 53.701293);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163680;6002;Bökenbarg NW Poppenbütteler Chaussee;;25.08.2005;POINT (10.097203 53.698208);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163681;6003;A7 AS HH-Schnelsen;;19.01.2006;POINT (9.923595 53.634171);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163682;6004;Schleswiger Damm / Oldesloer Straße;;02.11.2023;POINT (9.919748 53.637374);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163683;6005;Oldesloer Straße / Vielohweg;;03.09.2013;POINT (9.923627 53.638423);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163684;6006;Niendorfer Marktplatz / Garstedter Weg;;02.09.2014;POINT (9.950221 53.617702);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163685;6007;Kollaustraße / Papenreye;;08.11.2018;POINT (9.955797 53.611572);EPSG:4326
