_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21477;104;A7/A23 AD HH-Nordwest;;20.10.2020;POINT (9.913281 53.615293);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21478;118;A252/A255 AK HH-Süd (Nord);;01.01.2020;POINT (10.028108 53.518027);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21479;120;A1/A25 AD HH-Südost;;01.01.2020;POINT (10.080938 53.507178);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21480;201;Tarpen W Essener Straße (Landesgrenze);;05.01.2004;POINT (9.991160 53.666036);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21481;202;Meenkwiese W Meenkbrücke;;05.01.2004;POINT (9.991413 53.598788);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21482;203;Pinneberger Straße NW Siloahweg (Landesgrenze);;05.01.2004;POINT (9.900144 53.635887);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21483;204;Holsteiner Chaussee / Schleswiger Damm;;27.08.2020;POINT (9.907272 53.650161);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21484;205;Holsteiner Chaussee / Marek-James-Straße;;27.08.2020;POINT (9.908192 53.645813);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21485;206;Schleswiger Damm / Marek-James-Straße;;27.08.2020;POINT (9.911238 53.646086);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21486;207;Holsteiner Chaussee / A23 AS HH-Eidelstedt Knoten Süd;;20.10.2020;POINT (9.907501 53.617845);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21487;208;Holsteiner Chaussee / A23 AS HH-Eidelstedt Knoten Nord;;20.10.2020;POINT (9.908159 53.620366);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21488;209;A23 AS HH-Eidelstedt;;01.01.2004;POINT (9.907729 53.618643);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21489;210;Papenreye O Kollaustraße;;05.01.2004;POINT (9.957457 53.612098);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21490;211;Schleswiger Damm / Frohmestraße;;27.08.2020;POINT (9.931124 53.629232);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21491;212;Borsteler Chaussee / Alsterkrugchaussee;;27.08.2020;POINT (9.987274 53.603397);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21492;213;Nedderfeld O Kollaustraße;;05.01.2004;POINT (9.963883 53.603534);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21493;214;Pinneberger Chaussee NW Wildacker (Landesgrenze);;05.01.2004;POINT (9.885210 53.621868);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21494;215;Norderstedt - Niendorfer Straße N Krohnstieg (Landesgrenze);;05.01.2004;POINT (9.986518 53.651998);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21495;216;Oldesloer Straße NO Swebenweg (Landesgrenze);;04.01.2016;POINT (9.949719 53.650533);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21496;217;A7 AS HH-Schnelsen-Nord;;13.08.2019;POINT (9.930104 53.645429);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21497;218;Schleswiger Damm NW AS HH-Schnelsen;;05.01.2004;POINT (9.922363 53.635223);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21498;219;Kollaustraße / Osterfeldstraße;;23.11.2022;POINT (9.963994 53.599803);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21499;220;Ohkamp S Flughafenstraße;;05.01.2004;POINT (10.020263 53.639013);EPSG:4326
