_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_PEGEL_37025;1013;Krohnstieg NO Garstedter Weg T371 DP3233;;30.06.2024;POINT (9.975572 53.645786);EPSG:4326
APP_KFZ_PEGEL_37026;1017;Garstedter Weg SW Krohnstieg T372 DP3334;;30.06.2024;POINT (9.974236 53.644943);EPSG:4326
APP_KFZ_PEGEL_37027;1018;Swebenweg W Krohnstieg T373 DP3234;;30.06.2024;POINT (9.973855 53.645458);EPSG:4326
APP_KFZ_PEGEL_37028;1022;Zeppelinstraße N Terminalzufahrten (UFu) T367 DP31;;30.06.2024;POINT (10.009629 53.635823);EPSG:4326
APP_KFZ_PEGEL_37029;1035;Kollaustraße SO Vogt-Cordes-Damm T2 DP01;;30.06.2024;POINT (9.952571 53.613270);EPSG:4326
APP_KFZ_PEGEL_37030;1041;A23 NW AD Hamburg-Nordwest T344 DP2930;;29.08.2019;POINT (9.908967 53.617852);EPSG:4326
APP_KFZ_PEGEL_37031;1043;A7 NO AD Hamburg-Nordwest T343 DP2830;;29.08.2019;POINT (9.915906 53.622015);EPSG:4326
APP_KFZ_PEGEL_37032;1045;A7 SO AD Hamburg-Nordwest T342 DP2829;;07.11.2019;POINT (9.916265 53.611378);EPSG:4326
APP_KFZ_PEGEL_37033;1054;Luruper Hauptstraße O Engelbrechtweg (Landesgrenze) T10 DP09;;30.06.2024;POINT (9.854463 53.598217);EPSG:4326
APP_KFZ_PEGEL_37034;1061;Fruchtallee NW Emilienstraße T11 DP10;;30.06.2024;POINT (9.952597 53.571462);EPSG:4326
APP_KFZ_PEGEL_37035;1077;Doormannsweg SW Fruchtallee T9 DP08;;30.06.2024;POINT (9.955297 53.569967);EPSG:4326
APP_KFZ_PEGEL_37036;1081;Habichtstraße NW Meisenstraße T3 DP02;;30.06.2024;POINT (10.057372 53.590816);EPSG:4326
APP_KFZ_PEGEL_37037;1097;Wandsbeker Marktstraße SW Wandsbeker Königstraße T4 DP03;;30.06.2024;POINT (10.062720 53.570939);EPSG:4326
APP_KFZ_PEGEL_37038;1102;Wallringtunnel N Deichtorplatz T13 DP12;;29.06.2024;POINT (10.006310 53.549683);EPSG:4326
APP_KFZ_PEGEL_37039;1114;Deichtortunnel O Meßberg T5 DP04;;30.06.2024;POINT (10.003131 53.547390);EPSG:4326
APP_KFZ_PEGEL_37040;1123;Oberbaumbrücke NO Poggenmühle T381 DP38;;30.06.2024;POINT (10.003757 53.546423);EPSG:4326
APP_KFZ_PEGEL_37041;1134;Überseeallee O Shanghaiallee T382 DP39;;30.06.2024;POINT (10.004755 53.540734);EPSG:4326
APP_KFZ_PEGEL_37042;1145;A7 SO AS HH-Othmarschen (Elbtunnel) T15 DP14;;31.12.2020;POINT (9.918966 53.541514);EPSG:4326
APP_KFZ_PEGEL_37043;1154;Köhlbrandbrücke O Waltershofer Damm T16 DP15;;04.06.2024;POINT (9.938827 53.521790);EPSG:4326
APP_KFZ_PEGEL_37044;1164;Veddeler Damm O Worthdamm T14 DP13;;30.06.2024;POINT (9.981481 53.527524);EPSG:4326
APP_KFZ_PEGEL_37045;1173;Neue Elbbrücke NO Veddeler Marktplatz T6 DP05;;30.06.2024;POINT (10.026044 53.531834);EPSG:4326
APP_KFZ_PEGEL_37046;1188;B75 W AS HH-Elbinsel T338 DP 2627;;19.03.2019;POINT (10.021443 53.517463);EPSG:4326
APP_KFZ_PEGEL_37047;1196;"A1 S AD Hamburg-Norderelbe T337 DP2325 ";;31.12.2020;POINT (10.038443 53.499644);EPSG:4326
APP_KFZ_PEGEL_37048;1204;A1 O AD HH-Südost T335 DP1719;;10.09.2019;POINT (10.086827 53.507475);EPSG:4326
APP_KFZ_PEGEL_37049;1205;A25 SO AD Hamburg-Südost T336 DP1819;;27.08.2019;POINT (10.087054 53.501612);EPSG:4326
APP_KFZ_PEGEL_37050;1208;A1 W AD Hamburg-Südost T334 DP1718;;31.12.2020;POINT (10.059368 53.509313);EPSG:4326
APP_KFZ_PEGEL_37051;1212;Europabrücke N AS HH-Neuland (B75) T17 DP16;;24.06.2024;POINT (9.995904 53.473516);EPSG:4326
APP_KFZ_PEGEL_37052;1221;Buxtehuder Straße NW Bleicherweg T8 DP07;;30.06.2024;POINT (9.975099 53.465750);EPSG:4326
APP_KFZ_PEGEL_37053;2018;Tarpen W Essener Straße (Landesgrenze) T306;;04.02.2020;POINT (9.991160 53.666036);EPSG:4326
APP_KFZ_PEGEL_37054;2028;Meenkwiese W Meenkbrücke T289;;27.08.2020;POINT (9.991413 53.598788);EPSG:4326
APP_KFZ_PEGEL_37055;2031;Pinneberger Straße NW Siloahweg (Landesgrenze) T150;;27.08.2020;POINT (9.900144 53.635887);EPSG:4326
APP_KFZ_PEGEL_37056;2042;Holsteiner Chaussee N Schleswiger Damm (Landesgrenze) T151;;06.02.2024;POINT (9.907196 53.650863);EPSG:4326
APP_KFZ_PEGEL_37057;2056;Holsteiner Chaussee S Marek-James-Straße T153;;22.05.2008;POINT (9.908420 53.645182);EPSG:4326
APP_KFZ_PEGEL_37058;2065;Schleswiger Damm SO Marek-James-Straße T152;;22.05.2008;POINT (9.911659 53.645939);EPSG:4326
APP_KFZ_PEGEL_37059;2076;Holsteiner Chaussee S A23 AS HH-Eidelstedt T27;;18.06.2024;POINT (9.907301 53.617001);EPSG:4326
APP_KFZ_PEGEL_37060;2082;Holsteiner Chaussee N A23 AS HH-Eidelstedt T121;;26.02.2008;POINT (9.908290 53.620805);EPSG:4326
APP_KFZ_PEGEL_37061;2091;A23 NW AS HH-Eidelstedt T26;;20.10.2020;POINT (9.901834 53.621510);EPSG:4326
APP_KFZ_PEGEL_37062;2104;Papenreye O Kollaustraße T345;;27.08.2020;POINT (9.957457 53.612098);EPSG:4326
APP_KFZ_PEGEL_37063;2111;Schleswiger Damm NW Wendlohstraße T154;;13.05.2004;POINT (9.927293 53.631752);EPSG:4326
APP_KFZ_PEGEL_37064;2113;Wendlohstraße NO Frohmestraße T155;;13.05.2004;POINT (9.931662 53.629650);EPSG:4326
APP_KFZ_PEGEL_37065;2115;Frohmestraße SO Wendlohstraße T156;;26.09.2008;POINT (9.931928 53.628677);EPSG:4326
APP_KFZ_PEGEL_37066;2118;Frohmestraße W Schleswiger Damm T157;;13.05.2004;POINT (9.929824 53.629251);EPSG:4326
APP_KFZ_PEGEL_37067;2121;Borsteler Chaussee NW Alsterkrugchaussee T112;;04.05.2004;POINT (9.986361 53.603765);EPSG:4326
APP_KFZ_PEGEL_37068;2123;Alsterkrugchaussee NO Deelböge T113;;04.05.2004;POINT (9.987943 53.604192);EPSG:4326
APP_KFZ_PEGEL_37069;2125;Deelböge SO Alsterkrugchaussee T114;;18.04.2024;POINT (9.989019 53.603050);EPSG:4326
APP_KFZ_PEGEL_37070;2127;Rosenbrook SW Deelböge T115;;04.05.2004;POINT (9.985830 53.602394);EPSG:4326
APP_KFZ_PEGEL_37071;2134;Nedderfeld O Kollaustraße T162;;27.08.2020;POINT (9.963883 53.603534);EPSG:4326
APP_KFZ_PEGEL_37072;2141;Pinneberger Chaussee NW Wildacker (Landesgrenze) T149;;27.08.2020;POINT (9.885210 53.621868);EPSG:4326
APP_KFZ_PEGEL_37073;2152;Norderstedt - Niendorfer Straße N Krohnstieg (Landesgrenze) T272;;04.02.2020;POINT (9.986518 53.651998);EPSG:4326
APP_KFZ_PEGEL_37074;2163;Oldesloer Straße NO Swebenweg (Landesgrenze) T387;;27.08.2020;POINT (9.949719 53.650533);EPSG:4326
APP_KFZ_PEGEL_37075;2172;A7 N AS HH-Schnelsen-Nord (Landesgrenze) T323;;13.08.2019;POINT (9.930730 53.652579);EPSG:4326
APP_KFZ_PEGEL_37076;2173;Oldesloer Straße NO A7 AS HH-Schnelsen-Nord T106;;26.02.2008;POINT (9.932467 53.646264);EPSG:4326
APP_KFZ_PEGEL_37077;2176;A7 S AS HH-Schnelsen-Nord T104;;26.02.2008;POINT (9.926910 53.639827);EPSG:4326
APP_KFZ_PEGEL_37078;2177;Oldesloer Straße SW A7 AS HH-Schnelsen-Nord T105;;26.02.2008;POINT (9.928436 53.643896);EPSG:4326
APP_KFZ_PEGEL_37079;2181;Schleswiger Damm NW AS HH-Schnelsen T58;;27.08.2020;POINT (9.922363 53.635223);EPSG:4326
APP_KFZ_PEGEL_37080;2192;Kollaustraße N Osterfeldstraße T108;;05.01.2004;POINT (9.963255 53.600510);EPSG:4326
APP_KFZ_PEGEL_37081;2194;Osterfeldstraße O Kollaustraße T109;;05.01.2004;POINT (9.965376 53.599414);EPSG:4326
APP_KFZ_PEGEL_37082;2196;Lokstedter Steindamm S Osterfeldstraße T110;;05.01.2004;POINT (9.965249 53.598507);EPSG:4326
APP_KFZ_PEGEL_37083;2198;Vogt-Wells-Straße W Lokstedter Steindamm T111;;29.09.2011;POINT (9.962739 53.599741);EPSG:4326
APP_KFZ_PEGEL_37084;2206;Ohkamp S Flughafenstraße T309;;28.03.2019;POINT (10.020263 53.639013);EPSG:4326
APP_KFZ_PEGEL_37085;2212;Hummelsbütteler Landstraße N Brombeerweg T318;;28.03.2019;POINT (10.026181 53.629821);EPSG:4326
APP_KFZ_PEGEL_37086;2221;Karlshöher Weg NW Berner Heerweg T378;;26.09.2006;POINT (10.140042 53.629914);EPSG:4326
APP_KFZ_PEGEL_37087;2223;Berner Heerweg NO Berner Brücke T379;;26.09.2006;POINT (10.141543 53.630062);EPSG:4326
APP_KFZ_PEGEL_37088;2225;Berner Brücke SO Berner Heerweg T380;;26.09.2006;POINT (10.141839 53.628711);EPSG:4326
APP_KFZ_PEGEL_37089;2227;Berner Heerweg SW Berner Allee T303;;26.09.2006;POINT (10.140215 53.628466);EPSG:4326
APP_KFZ_PEGEL_37090;2228;Berner Allee W Berner Heerweg T260;;26.09.2006;POINT (10.138763 53.629028);EPSG:4326
APP_KFZ_PEGEL_37091;2234;Steilshooper Allee O Eichenlohweg T299;;21.01.2020;POINT (10.047046 53.608274);EPSG:4326
APP_KFZ_PEGEL_37092;2241;Alsterdorfer Damm NW Rathenaustraße T288;;28.03.2019;POINT (10.001042 53.611679);EPSG:4326
APP_KFZ_PEGEL_37093;2251;Hindenburgstraße NW Rathenaustraße T287;;28.03.2019;POINT (10.009880 53.612099);EPSG:4326
APP_KFZ_PEGEL_37094;2261;Sengelmannstraße NW Rathenaustraße T286;;28.03.2019;POINT (10.018057 53.615230);EPSG:4326
APP_KFZ_PEGEL_37095;2276;Tangstedter Landstraße S Am Ochsenzoll (Landesgrenze) T270;;04.02.2020;POINT (10.031249 53.681347);EPSG:4326
APP_KFZ_PEGEL_37096;2282;Glashütter Landstraße N Glashütter Stieg (Landesgrenze) T268;;04.02.2020;POINT (10.046513 53.679578);EPSG:4326
APP_KFZ_PEGEL_37097;2291;Harksheider Straße NW Kupferteichweg (Landesgrenze) T267;;01.09.2020;POINT (10.055846 53.674391);EPSG:4326
APP_KFZ_PEGEL_37098;2302;Meiendorfer Straße N Oldenfelder Stieg T253;;05.01.2004;POINT (10.156399 53.614782);EPSG:4326
APP_KFZ_PEGEL_37099;2304;Oldenfelder Stieg O Bargteheider Straße T254;;05.01.2004;POINT (10.156779 53.614302);EPSG:4326
APP_KFZ_PEGEL_37100;2306;Bargteheider Straße S Oldenfelder Stieg T255;;05.01.2004;POINT (10.155730 53.614069);EPSG:4326
APP_KFZ_PEGEL_37101;2308;Berner Straße W Meiendorfer Straße T256;;05.01.2004;POINT (10.155500 53.614512);EPSG:4326
APP_KFZ_PEGEL_37102;2316;Halenreie S Buckhorn T261;;06.02.2020;POINT (10.160632 53.655533);EPSG:4326
APP_KFZ_PEGEL_37103;2323;Wellingsbütteler Landstraße NO Fuhlsbüttler Straße T282;;31.01.2013;POINT (10.034550 53.628194);EPSG:4326
APP_KFZ_PEGEL_37104;2326;Fuhlsbüttler Straße S Wellingsbütteler Landstraße T283;;04.11.2008;POINT (10.031895 53.625385);EPSG:4326
APP_KFZ_PEGEL_37105;2328;Wellingsbütteler Landstraße W Fuhlsbüttler Straße T284;;04.11.2008;POINT (10.030413 53.626000);EPSG:4326
APP_KFZ_PEGEL_37106;2336;Fuhlsbüttler Straße S Meister-Bertram-Straße T281;;15.09.2020;POINT (10.039332 53.606193);EPSG:4326
APP_KFZ_PEGEL_37107;2348;Poppenbütteler Weg W Lademannbogen T273;;04.02.2020;POINT (10.031483 53.650028);EPSG:4326
APP_KFZ_PEGEL_37108;2356;Langenhorner Chaussee S Am Ochsenzoll (Landesgrenze) T271;;06.02.2024;POINT (10.000681 53.680770);EPSG:4326
APP_KFZ_PEGEL_37109;2362;Lemsahler Landstraße N An der Alsterschleife (Landesgrenze) T263;;01.09.2020;POINT (10.090900 53.672369);EPSG:4326
APP_KFZ_PEGEL_37110;2378;Saseler Damm W Poppenbüttler Landstraße T262;;06.02.2024;POINT (10.087243 53.656150);EPSG:4326
APP_KFZ_PEGEL_37111;2383;Bramfelder Chaussee NO Werner-Otto-Straße T277;;05.01.2004;POINT (10.069257 53.601956);EPSG:4326
APP_KFZ_PEGEL_37112;2385;Werner-Otto-Straße SO Bramfelder Chaussee T278;;05.01.2004;POINT (10.069328 53.600598);EPSG:4326
APP_KFZ_PEGEL_37113;2387;Bramfelder Chaussee SW Werner-Otto-Straße T279;;05.01.2004;POINT (10.068225 53.600608);EPSG:4326
APP_KFZ_PEGEL_37114;2392;August-Krogmann-Straße N Am Luisenhof T257;;18.11.2004;POINT (10.116749 53.607985);EPSG:4326
APP_KFZ_PEGEL_37115;2395;August-Krogmann-Straße SO Am Luisenhof T258;;06.02.2024;POINT (10.117376 53.607143);EPSG:4326
APP_KFZ_PEGEL_37116;2398;Am Luisenhof W August-Krogmann-Straße T259;;18.11.2004;POINT (10.115872 53.607427);EPSG:4326
APP_KFZ_PEGEL_37117;2402;Langenhorner Chaussee N Erdkampsweg T126;;15.01.2004;POINT (10.016160 53.635057);EPSG:4326
APP_KFZ_PEGEL_37118;2404;Erdkampsweg O Langenhorner Chaussee T43;;15.01.2004;POINT (10.016871 53.634449);EPSG:4326
APP_KFZ_PEGEL_37119;2406;Alsterkrugchaussee S Erdkampsweg T42;;15.01.2004;POINT (10.015911 53.634151);EPSG:4326
APP_KFZ_PEGEL_37120;2413;Bramfelder Chaussee NO Berner Chaussee T274;;05.01.2004;POINT (10.081027 53.619630);EPSG:4326
APP_KFZ_PEGEL_37121;2414;Berner Chaussee O Bramfelder Chaussee T275;;05.01.2004;POINT (10.081563 53.618709);EPSG:4326
APP_KFZ_PEGEL_37122;2417;Bramfelder Chaussee SW Berner Chaussee T276;;06.02.2024;POINT (10.079607 53.618484);EPSG:4326
APP_KFZ_PEGEL_37123;2424;Jahnbrücke O Saarlandstraße T93;;12.04.2005;POINT (10.034357 53.601130);EPSG:4326
APP_KFZ_PEGEL_37124;2426;Saarlandstraße S Jahnbrücke T91;;12.04.2005;POINT (10.031381 53.598711);EPSG:4326
APP_KFZ_PEGEL_37125;2428;Jahnring W Saarlandstraße T92;;09.06.2009;POINT (10.027396 53.600147);EPSG:4326
APP_KFZ_PEGEL_37126;2433;Bergstedter Chaussee NO Volksdorfer Grenzweg (Landesgrenze) T347;;30.03.2023;POINT (10.142986 53.676737);EPSG:4326
APP_KFZ_PEGEL_37127;2442;Saseler Chaussee N Stadtbahnstraße T45;;28.04.2004;POINT (10.107262 53.654393);EPSG:4326
APP_KFZ_PEGEL_37128;2444;Stadtbahnstraße O Saseler Chaussee T98;;28.04.2004;POINT (10.108076 53.653712);EPSG:4326
