ï»¿_fid,zaehlstelle,bezeichnung,knoten,letzte_zaehlung,geom,coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163670,2,Osdorfer LandstraÃe / WindmÃ¼hlenweg,,01.01.2023,POINT (557567.000000 5936156.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163671,3,Neue StraÃe / Harburger Ring,,01.01.2023,POINT (564964.000000 5923997.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163672,5,Elise-Averdieck-StraÃe / Oben Borgfelde,,01.01.2024,POINT (568753.000000 5934575.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163673,6,Oberhafenradweg / Brandshofer Deich,,01.01.2024,POINT (568203.000000 5932455.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163674,7,Gert-SchwÃ¤mmle-Weg / DratelnstraÃe,,01.01.2024,POINT (566319.000000 5928286.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163675,8,Alte Harburger ElbbrÃ¼cke / Abzweig Hannoversche StraÃe,,01.01.2024,POINT (565949.000000 5925083.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163676,9,NÃ¶rdlicher Bahngraben / S-Bahn AllermÃ¶he,,01.01.2024,POINT (576876.000000 5927486.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163677,10,Eppendorfer Weg / Wehbers Park,,01.01.2024,POINT (563442.000000 5936181.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163678,11,Saarlandstieg / Dakarweg,,01.01.2024,POINT (568148.000000 5939827.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163679,6001,Kakenhaner Weg SW Steenbargkoppel,,25.08.2005,POINT (572288.000000 5950845.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163680,6002,BÃ¶kenbarg NW PoppenbÃ¼tteler Chaussee,,25.08.2005,POINT (572439.000000 5950504.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163681,6003,A7 AS HH-Schnelsen,,19.01.2006,POINT (561070.000000 5943217.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163682,6004,Schleswiger Damm / Oldesloer StraÃe,,02.11.2023,POINT (560811.000000 5943570.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163683,6005,Oldesloer StraÃe / Vielohweg,,03.09.2013,POINT (561066.000000 5943690.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163684,6006,Niendorfer Marktplatz / Garstedter Weg,,02.09.2014,POINT (562855.000000 5941408.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163685,6007,KollaustraÃe / Papenreye,,08.11.2018,POINT (563233.000000 5940731.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163686,6008,KollaustraÃe / Nedderfeld,,20.11.2018,POINT (563661.000000 5939826.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163687,6009,Nedderfeld / Rosenbrook,,20.11.2018,POINT (565134.000000 5939577.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163688,6010,Oldesloer StraÃe / Swebenweg,,11.12.2018,POINT (562680.000000 5944950.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163689,6011,Borsteler Chaussee / Papenreye,,27.11.2018,POINT (564388.000000 5940871.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163690,6012,Kieler StraÃe / ElbgaustraÃe,,29.08.2023,POINT (559961.000000 5940187.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163691,6013,Swebenweg / MÃ¤rkerweg,,11.12.2018,POINT (563341.000000 5944720.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163692,6014,Eidelstedter Platz / Eidelstedter DorfstraÃe,,28.11.2017,POINT (559899.000000 5940281.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163693,6015,Holsteiner Chaussee / Eidelstedter Platz,,02.11.2023,POINT (559869.000000 5940377.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163694,6016,Franzosenkoppel / Fahrenort,,02.09.2009,POINT (558247.000000 5939476.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163695,6017,Niendorfer StraÃe / Umgehung FuhlsbÃ¼ttel,,05.04.2005,POINT (565231.000000 5945171.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163696,6018,Burgwedel / Oldesloer StraÃe,,13.04.2023,POINT (560683.000000 5943452.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163697,6019,Schleswiger Damm / Burgwedel,,03.04.2013,POINT (560587.000000 5944084.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163698,6020,Holsteiner Chaussee / NebenbahnstraÃe,,27.10.2005,POINT (559847.000000 5940492.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163699,6021,Holsteiner Chaussee / Rungwisch,,27.10.2005,POINT (559880.000000 5940513.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163700,6022,Holsteiner Chaussee / Oortskamp,,27.10.2005,POINT (559905.000000 5940683.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163701,6023,Holsteiner Chaussee / HÃ¶rgensweg,,25.02.2006,POINT (560000.000000 5941212.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163702,6024,Schleswiger Damm / Burgwedelkamp,,03.04.2013,POINT (560539.000000 5944158.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163703,6025,KollaustraÃe / Niendorfer StraÃe,,08.11.2018,POINT (563324.000000 5940635.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163704,6026,Tarpen / Essener StraÃe,,17.08.2004,POINT (565525.000000 5946811.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163705,6027,Essener StraÃe / Dortmunder StraÃe,,17.08.2004,POINT (565547.000000 5947369.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163706,6028,Bebelallee / Meenkwiese,,14.08.2012,POINT (565771.000000 5939393.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163707,6029,RathenaustraÃe / Bebelallee,,29.06.2023,POINT (565997.000000 5940072.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163708,6030,Furtweg / LÃ¼ttwisch,,30.05.2012,POINT (559800.000000 5939730.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163709,6031,LohkampstraÃe / Ekenknick,,27.10.2005,POINT (559762.000000 5940348.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163710,6032,Pinneberger Chaussee / Halstenbeker Weg,,15.09.2004,POINT (559081.000000 5941042.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163711,6033,Pinneberger Chaussee / Eidelstedter Platz,,27.10.2005,POINT (559793.000000 5940377.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163712,6034,Pinneberger Chaussee / Upn Hornack,,27.10.2005,POINT (559557.000000 5940599.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163713,6035,Pinneberger Chaussee / Johann-Schmidt-StraÃe,,27.10.2005,POINT (559609.000000 5940519.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163714,6036,Johann-Schmidt-StraÃe / LohkampstraÃe,,27.10.2005,POINT (559561.000000 5940446.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163715,6037,Oddernskamp / Julius-Vosseler-StraÃe,,29.09.2011,POINT (563022.000000 5939309.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163716,6038,Imbekstieg / WÃ¶rdemanns Weg,,08.12.2011,POINT (561124.000000 5939367.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163717,6039,Kellerbleek / Nedderfeld,,20.11.2018,POINT (563932.000000 5939853.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163718,6041,FrohmestraÃe / WÃ¤hlingsallee,,13.04.2023,POINT (560956.000000 5942970.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163719,6042,KollaustraÃe / GroÃ Borsteler StraÃe,,08.11.2018,POINT (563411.000000 5940585.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163720,6043,KollaustraÃe / Lokstedter Holt,,28.04.2021,POINT (563002.000000 5940934.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163721,6044,JÃ¼tlÃ¤nder Allee / WÃ¶rdemanns Weg,,12.12.2013,POINT (561296.000000 5939278.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163722,6045,Eidelstedter Platz / Busbahnhof,,27.10.2005,POINT (559820.000000 5940356.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163723,6046,Essener StraÃe / Zufahrt Betriebshof,,17.08.2004,POINT (565527.000000 5946943.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163724,6047,Holsteiner Chaussee / Zufahrt Gartenbetrieb,,25.02.2006,POINT (560056.000000 5941572.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163725,6048,Schleswiger Damm / A7 AS HH-Schnelsen Knoten Ost,,19.01.2006,POINT (561150.000000 5943124.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163726,6049,Schleswiger Damm / A7 AS HH-Schnelsen Knoten West,,19.01.2006,POINT (561037.000000 5943262.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163727,6050,Oldesloer StraÃe / A7 AS HH-Schnelsen-Nord Knoten West,,13.08.2019,POINT (561431.000000 5944418.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163728,6051,Oldesloer StraÃe / A7 AS HH-Schnelsen-Nord Knoten Ost,,13.08.2019,POINT (561560.000000 5944526.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163729,6052,Holsteiner Chaussee / Zufahrt Hornbach,,09.09.2010,POINT (559946.000000 5940954.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163730,6053,HÃ¶rgensweg O AKN BahnÃ¼bergang,,27.10.2005,POINT (559841.000000 5941363.000000),EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163731,6054,Fahrenort O Jevenstedter StraÃe,,26.02.2004,POINT (557902.000000 5939437.000000),EPSG:25832
